Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
240,Lam Research,LRCX,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,10.0,yes,no,no,no,no,17700,71532.0,17227,17.8,4605,17.8,17196,Timothy M. Archer,U.S.,Fremont,CA,www.lamresearch.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",71532.0,2023-06-05
241,Edison International,EIX,Energy,Utilities: Gas and Electric,yes,no,no,yes,2.0,yes,no,no,no,no,13110,27010.0,17220,15.5,612,-19.4,78041,Pedro J. Pizarro,U.S.,Rosemead,CA,www.edisoninvestor.com,Public,"Market value as of March 31, 2023.",27010.0,2023-06-05
242,Dominion Energy,D,Energy,Utilities: Gas and Electric,yes,no,no,yes,15.0,yes,no,no,no,no,17200,46699.0,17174,20.8,994,-69.8,104243,Robert M. Blue,U.S.,Richmond,VA,www.dominionenergy.com,Public,"Market value as of March 31, 2023.",46699.0,2023-06-05
243,Booking Holdings,BKNG,Technology,Internet Services and Retailing,yes,no,no,yes,97.0,yes,no,no,no,no,21492,99859.0,17090,56.0,3058,162.5,25361,Glenn D. Fogel,U.S.,Norwalk,CT,www.bookingholdings.com,Public,"Market value as of March 31, 2023.",99859.0,2023-06-05
244,Quanta Services,PWR,Engineering & Construction,Engineering & Construction,yes,no,no,yes,41.0,yes,no,no,no,no,47300,23996.0,17074,31.5,491,1.1,13464,Earl C. Austin Jr.,U.S.,Houston,TX,www.quantaservices.com,Public,"Market value as of March 31, 2023.",23996.0,2023-06-05
245,Expeditors Intl. of Washington,EXPD,Transportation,Transportation and Logistics,yes,no,no,yes,-20.0,no,yes,no,no,no,20302,17009.0,17071,3.3,1357,-4.1,5590,Jeffrey S. Musser,U.S.,Seattle,WA,www.expeditors.com,Public,"Market value as of March 31, 2023.",17009.0,2023-06-05
246,L3Harris Technologies,LHX,Aerospace & Defense,Aerospace & Defense,yes,no,no,no,-40.0,no,yes,no,no,no,46000,37277.0,17062,-4.2,1062,-42.5,33524,Christopher E. Kubasik,U.S.,Melbourne,FL,www.l3harris.com,Public,"Market value as of March 31, 2023.",37277.0,2023-06-05
247,Reliance Steel & Aluminum,RS,Materials,Metals,yes,no,yes,yes,14.0,yes,no,no,no,no,14750,15142.0,17025,20.8,1840,30.2,10330,Karla R. Lewis,U.S.,Scottsdale,AZ,www.rsac.com,Public,"Market value as of March 31, 2023.",15142.0,2023-06-05
248,Live Nation Entertainment,LYV,Media,Entertainment,yes,no,no,yes,260.0,yes,no,yes,no,no,20550,16211.0,16681,166.1,296,,16461,Michael Rapino,U.S.,Beverly Hills,CA,www.livenationentertainment.com,Public,"Market value as of March 31, 2023.",16211.0,2023-06-05
249,DISH Network,DISH,Telecommunications,Telecommunications,yes,no,no,no,-44.0,no,yes,no,no,no,14200,4956.0,16679,-6.7,2303,-4.5,52607,W. Erik Carlson,U.S.,Englewood,CO,www.dish.com,Public,"Market value as of March 31, 2023.",4956.0,2023-06-05
250,DuPont,DD,Chemicals,Chemicals,yes,no,no,no,-37.0,no,yes,no,no,no,23000,32895.0,16549,-3.6,5868,-9.3,41355,Edward D. Breen,U.S.,Wilmington,DE,www.dupont.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",32895.0,2023-06-05
251,Automatic Data Processing,ADP,Business Services,Diversified Outsourcing Services,yes,no,yes,yes,-9.0,no,yes,no,no,no,60000,92247.0,16498,9.9,2949,13.5,63068,Maria Black,U.S.,Roseland,NJ,www.adp.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",92247.0,2023-06-05
252,Group 1 Automotive,GPI,Retailing,"Automotive Retailing, Services",yes,no,no,yes,21.0,yes,no,no,no,no,15491,3194.0,16412,18.9,752,36.1,6718,Daryl A. Kenningham,U.S.,Houston,TX,www.group1auto.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",3194.0,2023-06-05
253,Aramark,ARMK,Business Services,Diversified Outsourcing Services,yes,no,no,yes,61.0,yes,no,no,no,no,273875,9326.0,16327,35.0,195,,15082,John J. Zillmer,U.S.,Philadelphia,PA,www.aramark.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",9326.0,2023-06-05
254,Thor Industries,THO,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,52.0,yes,no,no,no,no,32000,4262.0,16313,32.4,1138,72.4,7408,Robert W. Martin,U.S.,Elkhart,IN,www.thorindustries.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",4262.0,2023-06-05
255,DXC Technology,DXC,Technology,Information Technology Services,yes,no,no,no,-48.0,no,yes,no,no,no,130000,5820.0,16265,-8.3,718,,20139,Michael J. Salvino,U.S.,Ashburn,VA,www.dxc.technology,Public,"Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",5820.0,2023-06-05
256,Viatris,VTRS,Health Care,Pharmaceuticals,yes,no,no,no,-52.0,no,yes,no,no,no,37000,11513.0,16263,-9.1,2079,,50022,Scott A. Smith,U.S.,Canonsburg,PA,www.viatris.com,Public,"Market value as of March 31, 2023.",11513.0,2023-06-05
257,Reinsurance Group of America,RGA,Financials,"Insurance: Life, Health (stock)",yes,no,yes,yes,-35.0,no,yes,no,no,no,3800,8876.0,16258,-2.4,623,1.0,84706,Anna Manning,U.S.,Chesterfield,MO,www.rgare.com,Public,"Market value as of March 31, 2023.",8876.0,2023-06-05
258,AutoZone,AZO,Retailing,Specialty Retailers: Other,yes,no,no,yes,-9.0,no,yes,no,no,no,90720,45224.0,16252,11.1,2430,11.9,15275,William C. Rhodes III,U.S.,Memphis,TN,www.autozone.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of March 31, 2023.",45224.0,2023-06-05
259,PulteGroup,PHM,Engineering & Construction,Homebuilders,yes,no,no,yes,8.0,yes,no,no,no,yes,6524,13073.0,16229,16.5,2617,34.5,14797,Ryan R. Marshall,U.S.,Atlanta,GA,www.pultegroupinc.com,Public,"Market value as of March 31, 2023.",13073.0,2023-06-05
260,Illinois Tool Works,ITW,Industrials,Industrial Machinery,yes,no,no,yes,-8.0,no,yes,no,no,no,46000,74209.0,15932,10.2,3034,12.6,15422,E. Scott Santi,U.S.,Glenview,IL,www.itw.com,Public,"Market value as of March 31, 2023.",74209.0,2023-06-05
261,Parker-Hannifin,PH,Industrials,Industrial Machinery,yes,no,yes,yes,-8.0,no,yes,no,no,no,55090,43112.0,15862,10.6,1316,-24.7,25944,Jennifer A. Parmentier,U.S.,Cleveland,OH,www.parker.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",43112.0,2023-06-05
262,BorgWarner,BWA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,-18.0,no,yes,no,no,no,52700,11481.0,15801,6.5,944,75.8,16994,Frederic B. Lissalde,U.S.,Auburn Hills,MI,www.borgwarner.com,Public,"Market value as of March 31, 2023.",11481.0,2023-06-05
263,Westlake,WLK,Chemicals,Chemicals,yes,no,no,yes,57.0,yes,no,no,no,no,15920,14812.0,15794,34.1,2247,11.5,20550,Albert Yuan Chao,U.S.,Houston,TX,www.westlake.com,Public,"Market value as of March 31, 2023.",14812.0,2023-06-05
264,Consolidated Edison,ED,Energy,Utilities: Gas and Electric,yes,no,no,yes,12.0,yes,no,no,no,no,14319,33967.0,15670,14.6,1660,23.3,69065,Timothy P. Cawley,U.S.,New York,NY,www.conedison.com,Public,"Market value as of March 31, 2023.",33967.0,2023-06-05
265,Gap,GPS,Retailing,Specialty Retailers: Apparel,no,no,no,no,-45.0,no,yes,no,no,no,95000,3693.0,15616,-6.3,-202,-178.9,11386,Richard Dickson,U.S.,San Francisco,CA,www.gapinc.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",3693.0,2023-06-05
266,Opendoor Technologies,OPEN,Technology,Internet Services and Retailing,no,no,yes,no,159.0,yes,no,no,no,no,2570,1131.0,15567,94.1,-1353,,6608,Carrie A. Wheeler,U.S.,Tempe,AZ,www.opendoor.com,Public,"Market value as of March 31, 2023.",1131.0,2023-06-05
267,Nordstrom,JWN,Retailing,General Merchandisers,yes,no,no,no,-22.0,no,yes,no,no,no,60000,2606.0,15530,5.0,245,37.6,8745,Erik B. Nordstrom,U.S.,Seattle,WA,www.nordstrom.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",2606.0,2023-06-05
268,Asbury Automotive Group,ABG,Retailing,"Automotive Retailing, Services",yes,no,no,no,92.0,yes,no,no,no,no,13000,4557.0,15434,56.9,997,87.3,8021,David W. Hult,U.S.,Duluth,GA,www.asburyauto.com,Public,"Market value as of March 31, 2023.",4557.0,2023-06-05
269,Ball,BALL,Materials,"Packaging, Containers",yes,no,no,no,3.0,yes,no,no,no,no,21000,17326.0,15349,11.1,719,-18.1,19909,Daniel W. Fisher,U.S.,Westminster,CO,www.ball.com,Public,"Market value as of March 31, 2023.",17326.0,2023-06-05
270,Kellogg,K,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-12.0,no,yes,no,no,no,30000,22945.0,15315,8.0,960,-35.5,18496,Steven A. Cahillane,U.S.,Battle Creek,MI,www.kelloggcompany.com,Public,"Market value as of March 31, 2023.",22945.0,2023-06-05
271,Xcel Energy,XEL,Energy,Utilities: Gas and Electric,yes,no,no,yes,7.0,yes,no,no,no,no,11982,37082.0,15310,14.0,1736,8.7,61188,Robert C. Frenzel,U.S.,Minneapolis,MN,www.xcelenergy.com,Public,"Market value as of March 31, 2023.",37082.0,2023-06-05
272,W.W. Grainger,GWW,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,12.0,yes,no,no,no,yes,24500,34622.0,15228,16.9,1547,48.3,7588,D.G. Macpherson,U.S.,Lake Forest,IL,www.grainger.com,Public,"Market value as of March 31, 2023.",34622.0,2023-06-05
273,Discover Financial Services,DFS,Financials,Commercial Banks,yes,no,no,yes,8.0,yes,no,no,no,yes,20200,25635.0,15202,15.0,4392,-19.4,131628,John B. Owen,U.S.,Riverwoods,IL,www.discover.com,Public,"Market value as of March 31, 2023.",25635.0,2023-06-05
274,Baxter International,BAX,Health Care,Medical Products and Equipment,no,no,no,no,18.0,yes,no,no,no,no,60000,20504.0,15113,18.2,-2433,-289.5,28287,José E. Almeida,U.S.,Deerfield,IL,www.baxter.com,Public,"Market value as of March 31, 2023.",20504.0,2023-06-05
275,Southwestern Energy,SWN,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,211.0,yes,no,no,no,no,1118,5506.0,15002,125.0,1849,,12926,William J. Way,U.S.,Spring,TX,www.swn.com,Public,"Market value as of March 31, 2023.",5506.0,2023-06-05
276,DCP Midstream,DCP,Energy,Pipelines,yes,no,no,yes,68.0,yes,no,no,no,no,1910,8701.0,14993,40.0,1052,169.1,13334,Donald A. Baldridge,U.S.,Denver,CO,www.dcpmidstream.com,Public,"A partnership. Market value as of March 31, 2023.",8701.0,2023-06-05
277,Jacobs Solutions,J,Engineering & Construction,Engineering & Construction,yes,no,no,yes,-15.0,no,yes,no,no,no,58350,14890.0,14923,5.9,644,35.0,14660,Bob Pragada,U.S.,Dallas,TX,www.jacobs.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Reorganized as holding company, Aug. 29, 2022. Jacobs Engineering is now a subsidiary of the company. Market value as of March 31, 2023.",14890.0,2023-06-05
278,Laboratory Corp. of America,LH,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-48.0,no,yes,no,no,no,75200,20304.0,14877,-7.7,1279,-46.2,20155,Adam H. Schechter,U.S.,Burlington,NC,www.labcorp.com,Public,"Market value as of March 31, 2023.",20304.0,2023-06-05
279,CSX,CSX,Transportation,Railroads,yes,no,no,yes,19.0,yes,no,no,no,no,22542,61330.0,14853,18.6,4166,10.2,41912,Joseph R. Hinrichs,U.S.,Jacksonville,FL,www.csx.com,Public,"Market value as of March 31, 2023.",61330.0,2023-06-05
280,J.B. Hunt Transport Services,JBHT,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,31.0,yes,no,no,no,no,37151,18208.0,14814,21.7,969,27.4,7787,John N. Roberts III,U.S.,Lowell,AR,www.jbhunt.com,Public,"Market value as of March 31, 2023.",18208.0,2023-06-05
281,Guardian Life Ins. Co. of America,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,-34.0,no,yes,no,no,no,8025,,14653,,71,-75.4,91620,Andrew J. McMahon,U.S.,New York,NY,www.guardianlife.com,Private,"Market value as of March 31, 2021.",,2023-06-05
282,Jackson Financial,JXN,Financials,"Insurance: Life, Health (stock)",yes,no,yes,yes,113.0,yes,no,no,no,no,3435,3078.0,14551,57.4,5697,79.0,311058,Laura L. Prieskorn,U.S.,Lansing,MI,www.jackson.com,Public,"Market value as of March 31, 2023.",3078.0,2023-06-05
283,Fidelity National Information Services,FIS,Business Services,Financial Data Services,no,no,yes,yes,-15.0,no,yes,no,no,no,69000,32160.0,14528,4.7,-16720,-4109.6,63278,Stephanie L. Ferris,U.S.,Jacksonville,FL,www.fisglobal.com,Public,"Market value as of March 31, 2023.",32160.0,2023-06-05
284,Berry Global Group,BERY,Materials,"Packaging, Containers",yes,no,no,no,-13.0,no,yes,no,no,no,46000,7151.0,14495,4.7,766,4.5,16956,Thomas E. Salmon,U.S.,Evansville,IN,www.berryglobal.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",7151.0,2023-06-05
285,Sempra,SRE,Energy,Utilities: Gas and Electric,yes,no,no,yes,3.0,yes,no,no,no,no,15785,47563.0,14439,12.3,2138,62.3,78574,Jeffrey W. Martin,U.S.,San Diego,CA,www.sempra.com,Public,"Market value as of March 31, 2023.",47563.0,2023-06-05
286,IQVIA Holdings,IQV,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-17.0,no,yes,no,no,no,86000,37022.0,14410,3.9,1091,12.9,25337,Ari Bousbib,U.S.,Durham,NC,www.iqvia.com,Public,"Market value as of March 31, 2023.",37022.0,2023-06-05
287,O'Reilly Automotive,ORLY,Retailing,Specialty Retailers: Other,yes,no,no,yes,-8.0,no,yes,no,no,no,79679,52269.0,14410,8.1,2173,0.4,12628,Gregory D. Johnson,U.S.,Springfield,MO,www.oreillyauto.com,Public,"Market value as of March 31, 2023.",52269.0,2023-06-05
288,Leidos Holdings,LDOS,Technology,Information Technology Services,yes,no,no,yes,-14.0,no,yes,no,no,no,45000,12630.0,14396,4.8,685,-9.0,13071,Thomas A. Bell,U.S.,Reston,VA,www.leidos.com,Public,"Market value as of March 31, 2023.",12630.0,2023-06-05
289,Ameriprise Financial,AMP,Financials,Diversified Financials,yes,no,no,yes,-12.0,no,yes,no,no,no,13500,32228.0,14347,6.7,2559,-7.3,158468,James M. Cracchiolo,U.S.,Minneapolis,MN,www.ameriprise.com,Public,"Market value as of March 31, 2023.",32228.0,2023-06-05
290,Omnicom Group,OMC,Business Services,"Advertising, marketing",yes,no,no,yes,-35.0,no,yes,no,no,no,74200,19001.0,14289,,1317,-6.5,27003,John D. Wren,U.S.,New York,NY,www.omnicomgroup.com,Public,"Market value as of March 31, 2023.",19001.0,2023-06-05
291,Tractor Supply,TSCO,Retailing,Specialty Retailers: Other,yes,no,no,yes,3.0,yes,no,no,no,no,36500,25830.0,14205,11.6,1089,9.2,8490,Harry A. Lawton III,U.S.,Brentwood,TN,www.tractorsupply.com,Public,"Market value as of March 31, 2023.",25830.0,2023-06-05
292,Corning,GLW,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-29.0,no,yes,no,no,no,57500,29890.0,14189,0.8,1316,-31.0,29499,Wendell P. Weeks,U.S.,Corning,NY,www.corning.com,Public,"Market value as of March 31, 2023.",29890.0,2023-06-05
293,Ecolab,ECL,Chemicals,Chemicals,yes,no,no,no,,,,no,no,no,47000,47121.0,14188,11.4,1092,-3.4,21464,Christophe Beck,U.S.,St. Paul,MN,www.ecolab.com,Public,"Market value as of March 31, 2023.",47121.0,2023-06-05
294,Icahn Enterprises,IEP,Financials,Diversified Financials,no,no,no,yes,34.0,yes,no,no,no,no,20041,18283.0,14101,24.5,-183,,27914,David Willetts,U.S.,Sunny Isles Beach,FL,www.ielp.com,Public,"Excise taxes have been deducted. A partnership. Market value as of March 31, 2023.",18283.0,2023-06-05
295,Farmers Insurance Exchange,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,-31.0,no,yes,no,no,no,11344,,14092,0.3,-314,,22979,Raul Vargas,U.S.,Woodland Hills,CA,www.farmers.com,Private,"Market value as of March 31, 2021.",,2023-06-05
296,Keurig Dr Pepper,KDP,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,,,,no,no,no,28000,49620.0,14057,10.8,1436,-33.1,51837,Robert J. Gamgort,U.S.,Burlington,MA,www.keurigdrpepper.com,Public,"Market value as of March 31, 2023.",49620.0,2023-06-05
297,Loews,L,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-51.0,no,yes,no,no,no,12050,13395.0,14044,-4.2,1012,-35.9,75494,James S. Tisch,U.S.,New York,NY,www.loews.com,Public,"Market value as of March 31, 2023.",13395.0,2023-06-05
298,Equitable Holdings,EQH,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,38.0,yes,no,no,no,no,10250,9186.0,14017,27.0,1785,,253468,Mark Pearson,U.S.,New York,NY,www.equitableholdings.com,Public,"Market value as of March 31, 2023.",9186.0,2023-06-05
299,Sonic Automotive,SAH,Retailing,"Automotive Retailing, Services",yes,no,no,yes,1.0,yes,no,no,no,no,10300,1930.0,14001,12.9,89,-74.6,4978,David Bruton Smith,U.S.,Charlotte,NC,www.sonicautomotive.com,Public,"Market value as of March 31, 2023.",1930.0,2023-06-05
300,Fox,FOXA,Media,Entertainment,yes,no,no,yes,-13.0,no,yes,no,no,no,10600,17551.0,13974,8.3,1205,-44.0,22185,Lachlan K. Murdoch,U.S.,New York,NY,www.foxcorporation.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",17551.0,2023-06-05
301,American Family Insurance Group,,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-50.0,no,yes,no,no,no,12990,,13814,-5.5,-1904,-359.3,36088,William Westrate,U.S.,Madison,WI,www.amfam.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,2023-06-05
302,Entergy,ETR,Energy,Utilities: Gas and Electric,yes,no,no,no,19.0,yes,no,no,no,no,11707,22851.0,13764,17.2,1103,-1.4,58595,Andrew S. Marsh,U.S.,New Orleans,LA,www.entergy.com,Public,"Market value as of March 31, 2023.",22851.0,2023-06-05
303,Fluor,FLR,Engineering & Construction,Engineering & Construction,yes,no,no,no,-44.0,no,yes,no,no,no,39576,4392.0,13744,-2.9,145,,6827,David E. Constable,U.S.,Irving,TX,www.fluor.com,Public,"Market value as of March 31, 2023.",4392.0,2023-06-05
304,Vistra,VST,Energy,Energy,no,no,no,no,11.0,yes,no,no,no,no,4910,9155.0,13728,13.7,-1227,,32787,James A. Burke,U.S.,Irving,TX,www.vistracorp.com,Public,"Market value as of March 31, 2023.",9155.0,2023-06-05
305,State Street,STT,Financials,Commercial Banks,yes,no,no,yes,11.0,yes,no,no,no,no,42226,26074.0,13692,13.8,2774,3.0,301450,Ronald P. O&#039;Hanley,U.S.,Boston,MA,www.statestreet.com,Public,"Market value as of March 31, 2023.",26074.0,2023-06-05
306,Otis Worldwide,OTIS,Industrials,Industrial Machinery,yes,no,yes,no,-52.0,no,yes,no,no,no,69000,35015.0,13685,-4.3,1253,0.6,9819,Judith F. Marks,U.S.,Farmington,CT,www.otis.com,Public,"Market value as of March 31, 2023.",35015.0,2023-06-05
307,Peter Kiewit Sons',,Engineering & Construction,Engineering & Construction,yes,no,no,no,6.0,yes,no,no,no,no,25700,,13663,12.5,710,-5.7,7220,Rick Lanoha,U.S.,Omaha,NE,www.kiewit.com,Private,"Market value as of March 31, 2021.",,2023-06-05
308,Carvana,CVNA,Retailing,"Automotive Retailing, Services",no,yes,no,no,-18.0,no,yes,no,no,no,16600,1761.0,13604,6.2,-1587,,8698,Ernest C. Garcia III,U.S.,Tempe,AZ,www.carvana.com,Public,"Market value as of March 31, 2023.",1761.0,2023-06-05
309,Republic Services,RSG,Business Services,Waste Management,yes,no,no,yes,20.0,yes,no,no,no,no,40000,42763.0,13511,19.6,1488,15.3,29053,Jon Vander Ark,U.S.,Phoenix,AZ,www.republicservices.com,Public,"Market value as of March 31, 2023.",42763.0,2023-06-05
310,AECOM,ACM,Engineering & Construction,Engineering & Construction,yes,no,no,no,-50.0,no,yes,no,no,no,50000,11716.0,13496,-4.4,311,79.4,11139,W. Troy Rudd,U.S.,Dallas,TX,www.aecom.com,Public,"Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",11716.0,2023-06-05
311,Universal Health Services,UHS,Health Care,Health Care: Medical Facilities,yes,no,no,yes,-14.0,no,yes,no,no,no,82500,8982.0,13399,6.0,676,-31.9,13494,Marc D. Miller,U.S.,King of Prussia,PA,www.uhs.com,Public,"Market value as of March 31, 2023.",8982.0,2023-06-05
312,Pacific Life,,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-46.0,no,yes,no,no,no,3950,,13360,-4.1,763,-30.8,199324,Darryl D. Button,U.S.,Newport Beach,CA,www.pacificlife.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,2023-06-05
313,VMware,VMW,Technology,Computer Software,yes,no,no,yes,,,,yes,no,no,38300,53496.0,13350,3.9,1314,-27.8,31237,Raghu Raghuram,U.S.,Palo Alto,CA,www.vmware.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Spun off from Dell Technologies (2022 rank: 34), Nov. 1, 2022. Market value as of March 31, 2023.",53496.0,2023-06-05
314,Western & Southern Financial Group,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,58.0,yes,no,no,no,no,2594,,13156,39.3,309,-14.4,69147,John F. Barrett,U.S.,Cincinnati,OH,www.westernsouthern.com,Private,"Market value as of March 31, 2021.",,2023-06-05
315,MGM Resorts International,MGM,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,49.0,yes,no,no,no,no,66000,16564.0,13128,35.6,1473,17.4,45692,William J. Hornbuckle,U.S.,Las Vegas,NV,www.mgmresorts.com,Public,"Market value as of March 31, 2023.",16564.0,2023-06-05
316,Casey's General Stores,CASY,Retailing,Specialty Retailers: Other,yes,no,no,yes,129.0,yes,no,no,no,no,31466,8066.0,12953,48.8,340,8.6,5506,Darren M. Rebelez,U.S.,Ankeny,IA,www.caseys.com,Public,"Figures are for fiscal year ended April 30, 2022. Market value as of March 31, 2023.",8066.0,2023-06-05
317,Crown Holdings,CCK,Materials,"Packaging, Containers",yes,no,no,no,-31.0,no,yes,no,no,no,26000,9934.0,12943,-0.3,727,,14301,Timothy J. Donahue,U.S.,Tampa,FL,www.crowncork.com,Public,"Market value as of March 31, 2023.",9934.0,2023-06-05
318,Textron,TXT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,-16.0,no,yes,no,no,no,34000,14385.0,12869,3.9,861,15.4,16293,Scott C. Donnelly,U.S.,Providence,RI,www.textron.com,Public,"Market value as of March 31, 2023.",14385.0,2023-06-05
319,LKQ,LKQ,Wholesalers,Wholesalers: Diversified,yes,no,no,no,-36.0,no,yes,no,no,no,45000,15171.0,12794,-2.3,1149,5.3,12038,Dominick P. Zarcone,U.S.,Chicago,IL,www.lkqcorp.com,Public,"Market value as of March 31, 2023.",15171.0,2023-06-05
320,Norfolk Southern,NSC,Transportation,Railroads,yes,no,no,yes,12.0,yes,no,no,no,no,19300,48257.0,12745,14.4,3270,8.8,38885,Alan H. Shaw,U.S.,Atlanta,GA,www.norfolksouthern.com,Public,"Market value as of March 31, 2023.",48257.0,2023-06-05
321,Intuit,INTU,Technology,Computer Software,yes,no,no,yes,45.0,yes,no,no,no,yes,21850,125076.0,12726,32.1,2066,0.2,27734,Sasan K. Goodarzi,U.S.,Mountain View,CA,www.intuit.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",125076.0,2023-06-05
322,Air Products & Chemicals,APD,Chemicals,Chemicals,yes,no,no,yes,28.0,yes,no,no,no,no,20805,63784.0,12699,23.0,2256,7.5,27193,Seifi Ghasemi,U.S.,Allentown,PA,www.airproducts.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",63784.0,2023-06-05
323,Boston Scientific,BSX,Health Care,Medical Products and Equipment,yes,no,no,yes,-4.0,no,yes,no,no,no,45000,71910.0,12682,6.7,698,-32.9,32469,Michael F. Mahoney,U.S.,Marlborough,MA,www.bostonscientific.com,Public,"Market value as of March 31, 2023.",71910.0,2023-06-05
324,AGCO,AGCO,Industrials,Construction and Farm Machinery,yes,no,no,yes,10.0,yes,no,no,no,no,25600,10119.0,12651,13.6,890,-0.8,10104,Eric P. Hansotia,U.S.,Duluth,GA,www.agcocorp.com,Public,"Market value as of March 31, 2023.",10119.0,2023-06-05
325,Henry Schein,HSIC,Health Care,Wholesalers: Health Care,yes,no,no,yes,-26.0,no,yes,no,no,no,22000,10705.0,12647,2.0,538,-14.8,8607,Stanley M. Bergman,U.S.,Melville,NY,www.henryschein.com,Public,"Market value as of March 31, 2023.",10705.0,2023-06-05
326,Amphenol,APH,Technology,Network and Other Communications Equipment,yes,no,no,yes,15.0,yes,no,no,no,no,91000,48591.0,12623,16.1,1902,19.6,15326,R. Adam Norwitt,U.S.,Wallingford,CT,www.amphenol.com,Public,"Market value as of March 31, 2023.",48591.0,2023-06-05
327,AES,AES,Energy,Utilities: Gas and Electric,no,no,no,yes,6.0,yes,no,no,no,no,9100,16110.0,12617,13.2,-546,,38363,Andrés R. Gluski,U.S.,Arlington,VA,www.aes.com,Public,"Market value as of March 31, 2023.",16110.0,2023-06-05
328,Mutual of Omaha,,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,-4.0,no,yes,no,no,yes,6350,,12531,8.1,-177,-200.2,45140,James T. Blackledge,U.S.,Omaha,NE,www.mutualofomaha.com,Private,"Figures are for fiscal year ended Dec. 31, 2021.",,2023-06-05
329,Ovintiv,OVV,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,71.0,yes,no,no,no,no,1744,8772.0,12464,44.0,3637,156.9,15056,Brendan M. McCracken,U.S.,Denver,CO,www.ovintiv.com,Public,"Market value as of March 31, 2023.",8772.0,2023-06-05
330,Hormel Foods,HRL,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-3.0,no,yes,no,no,no,20000,21796.0,12459,9.4,1000,10.0,13307,James P. Snee,U.S.,Austin,MN,www.hormelfoods.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",21796.0,2023-06-05
331,Alcoa,AA,Materials,Metals,no,no,no,yes,-19.0,no,yes,no,no,no,13100,7591.0,12451,2.5,-123,-128.7,14756,Roy C. Harvey,U.S.,Pittsburgh,PA,www.alcoa.com,Public,"Market value as of March 31, 2023.",7591.0,2023-06-05
